"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"40",0.6,4.6,3,0,0,0,-0.193891684,0,0.09,0,16,3,5,0,0.157894737,0,0.4210526315,0.5,0.8,0
"41",0.2,4.2,3,0.5,0.666666667,0.4,0.404226042,0.4,0.13,2,14,1,3,0.4,0.066666667,0.666666667,0.6666666665,0.6333333335,0.875,0.636363636363636
"42",0.2,2.2,4,0.666666667,0.75,0.6,0.577350269,0.6,0.09,3,14,1,2,0.6,0.066666667,0.75,0.7666666665,0.575,0.903225806451613,0.767123287891912
"43",0,6,2,0.571428571,1,0.4,0.591607978,0.4,0.1,2,21,0,3,0.4,0,1,0.7,0.8,0.933333333333333,0.708860759163916
"44",0.6,0.6,5,0.4,0.4,0.4,0.2,0.4,0.1,2,12,3,3,0.4,0.2,0.4,0.6,0.5,0.8,0.533333333333333
"45",0.2,9.2,2,0.285714286,0.5,0.2,0.211445016,0.2,0.1,1,17,1,4,0.2,0.055555556,0.5,0.572222222,0.65,0.871794871794872,0.43037974715959
"46",0.6,2.6,4,0.222222222,0.25,0.2,0,0.2,0.08,1,12,3,4,0.2,0.2,0.25,0.5,0.525,0.774193548387097,0.345323740738885
"47",0.2,0.2,5,0.8,0.8,0.8,0.733333333,0.8,0.07,4,14,1,1,0.8,0.066666667,0.8,0.8666666665,0.5,0.933333333333333,0.861538461538462
"48",0.4,2.4,4,0.444444444,0.5,0.4,0.29827938,0.4,0.1,2,14,2,3,0.4,0.125,0.5,0.6375,0.55,0.848484848484849,0.583333332950521
"49",0.2,6.2,2,0.285714286,0.5,0.2,0.23276727,0.2,0.09,1,22,1,4,0.2,0.043478261,0.5,0.5782608695,0.65,0.897959183673469,0.433497537274673
"50",0.4,4.4,3,0.25,0.333333333,0.2,0.149071198,0.2,0.1,1,23,2,4,0.2,0.08,0.333333333,0.56,0.5666666665,0.884615384615385,0.389830508474576
"51",0.4,4.4,3,0.25,0.333333333,0.2,0.123091491,0.2,0.09,1,18,2,4,0.2,0.1,0.333333333,0.55,0.5666666665,0.857142857142857,0.387096774193548
